warehouseCode,productCode,productName,quantityInStock,total_sold,sales_to_stock_ratio
b,S18_1984,"1995 Honda Civic",9772,917,0.09
b,S24_3432,"2002 Chevy Corvette",9446,894,0.09
b,S18_3482,"1976 Ford Gran Torino",9127,915,0.10
a,S12_2823,"2002 Suzuki XREO",9997,1028,0.10
b,S12_3380,"1968 Dodge Charger",9123,925,0.10
a,S700_2466,"America West Airlines B757-200",9653,984,0.10
b,S18_1589,"1965 Aston Martin DB5",9042,914,0.10
a,S32_2206,"1982 Ducati 996 R",9241,906,0.10
c,S18_2325,"1932 Model A Ford J-Coupe",9354,957,0.10
b,S18_2870,"1999 Indy 500 Monte Carlo SS",8164,855,0.10
b,S18_3685,"1948 Porsche Type 356 Roadster",8990,948,0.11
d,S32_3207,"1950's Chicago Surface Lines Streetcar",8601,934,0.11
c,S18_1367,"1936 Mercedes-Benz 500K Special Roadster",8635,960,0.11
b,S18_1889,"1948 Porsche 356-A Roadster",8826,972,0.11
c,S24_3151,"1912 Ford Model T Delivery Wagon",9173,991,0.11
b,S24_1628,"1966 Shelby Cobra 427 S/C",8197,915,0.11
c,S18_4522,"1904 Buick Runabout",8290,990,0.12
a,S700_4002,"American Airlines: MD-11S",8820,1085,0.12
a,S18_3782,"1957 Vespa GS150",7689,959,0.12
b,S24_4620,"1961 Chevrolet Impala",7869,941,0.12
b,S24_3371,"1971 Alpine Renault 1600s",7995,969,0.12
b,S24_2972,"1982 Lamborghini Diablo",7723,912,0.12
b,S10_1949,"1952 Alpine Renault 1300",7305,961,0.13
c,S18_3320,"1917 Maxwell Touring Car",7913,992,0.13
a,S10_1678,"1969 Harley Davidson Ultimate Chopper",7933,1057,0.13
c,S18_1342,"1937 Lincoln Berline",8693,1111,0.13
b,S24_4048,"1992 Porsche Cayenne Turbo Silver",6582,867,0.13
d,S18_2319,"1964 Mercedes Tour Bus",8258,1053,0.13
c,S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",6553,866,0.13
c,S24_1937,"1939 Chevrolet Deluxe Coupe",7332,937,0.13
b,S700_2824,"1982 Camaro Z28",6934,997,0.14
a,S700_2834,"ATA: B757-300",7106,973,0.14
b,S10_4962,"1962 LanciaA Delta 16V",6791,932,0.14
b,S12_3148,"1969 Corvair Monza",6906,963,0.14
b,S12_4675,"1969 Dodge Charger",7323,992,0.14
d,S18_3259,"Collectable Wooden Train",6450,918,0.14
a,S24_2360,"1982 Ducati 900 Monster",6840,947,0.14
c,S24_3816,"1940 Ford Delivery Sedan",6621,923,0.14
d,S700_2610,"The USS Constitution Ship",7083,1020,0.14
a,S10_2016,"1996 Moto Guzzi 1100i",6625,999,0.15
a,S24_1578,"1997 BMW R 1100 S",7003,1033,0.15
c,S18_4668,"1939 Cadillac Limousine",6645,995,0.15
a,S700_1691,"American Airlines: B767-300",5841,894,0.15
c,S18_3136,"18th Century Vintage Horse Carriage",5992,907,0.15
c,S50_1341,"1930 Buick Marquette Phaeton",7062,1074,0.15
a,S24_3949,"Corsair F4U ( Bird Cage)",6812,1051,0.15
a,S24_2841,"1900s Vintage Bi-Plane",5942,940,0.16
b,S24_3856,"1956 Porsche 356A Coupe",6600,1052,0.16
b,S12_3990,"1970 Plymouth Hemi Cuda",5663,900,0.16
d,S12_4473,"1957 Chevy Pickup",6125,1056,0.17
c,S18_2957,"1934 Ford V8 Coupe",5649,985,0.17
b,S18_4027,"1970 Triumph Spitfire",5545,945,0.17
a,S10_4698,"2003 Harley-Davidson Eagle Drag Bike",5582,985,0.18
d,S32_1268,"1980â€™s GM Manhattan Express",5099,911,0.18
d,S700_3962,"The Queen Mary",5088,896,0.18
b,S24_3191,"1969 Chevrolet Camaro Z28",4695,870,0.19
a,S18_1662,"1980s Black Hawk Helicopter",5330,1040,0.20
a,S72_1253,"Boeing X-32A JSF",4857,960,0.20
c,S24_4258,"1936 Chrysler Airflow",4710,983,0.21
b,S18_2238,"1998 Chrysler Plymouth Prowler",4724,986,0.21
b,S18_3232,"1992 Ferrari 360 Spider red",8347,1808,0.22
a,S18_2625,"1936 Harley Davidson El Knucklehead",4357,945,0.22
d,S18_3029,"1999 Yamaha Speed Boat",4259,966,0.23
c,S18_3140,"1903 Ford Model A",3913,883,0.23
b,S18_1129,"1993 Mazda RX-7",3975,947,0.24
b,S18_4933,"1957 Ford Thunderbird",3209,767,0.24
b,S24_1444,"1970 Dodge Coronet",4074,976,0.24
c,S18_2949,"1913 Ford Model T Speedster",4189,1038,0.25
d,S700_2047,"HMS Bounty",3501,897,0.26
a,S32_4485,"1974 Ducati 350 Mk3 Desmo",3341,898,0.27
a,S24_1785,"1928 British Royal Navy Airplane",3627,972,0.27
b,S12_1108,"2001 Ferrari Enzo",3619,1019,0.28
